File_Name,Start_Time,End_Time
GC_F1-10ml.wav,3.0945,3.7945
GC_F1-20ml.wav,3.36,4.0600000000000005
GC_F1-3ml.wav,2.6264999999999996,3.3265
GC_F1-50ml.wav,2.2394999999999996,2.9395
GC_F1-5ml.wav,1.1540000000000001,1.854
GC_F2_10ML.wav,3.19875,3.89875
GC_F2_20Ml.wav,2.72675,3.42675
GC_F2_3Ml.wav,2.69225,3.39225
GC_F2_50ML.wav,2.49675,3.19675
GC_F2_5ml.wav,4.4735,5.1735
GE-M1-3ml.wav,8.709750000000001,9.40975
GE_F1-10ML.wav,8.5195,9.2195
GE_F1_3ML.wav,7.12,7.82
GE_F1_5ML.wav,5.1255,5.8255
GE_M1-20ml.wav,10.5075,11.2075
GE_M1_10ml.wav,10.722750000000001,11.42275
GE_M1_5ml.wav,5.7195,6.4195
